Number,r_start [m],r_end [m],r_mean [m],TRIAX [m],UNIAX [m],BALSA [m],UNIAX2 [m],TRIAX3 [m]
1.00,2.80,3.66,3.23,0.01,0.01,0.00,0.01,0.01
2.00,3.66,4.53,4.10,0.01,0.01,0.00,0.01,0.01
3.00,4.53,5.39,4.96,0.01,0.01,0.00,0.01,0.01
4.00,5.39,6.26,5.82,0.01,0.01,0.00,0.01,0.01
5.00,6.26,7.12,6.69,0.01,0.01,0.00,0.01,0.01
6.00,7.12,7.98,7.55,0.01,0.01,0.00,0.01,0.01
7.00,7.98,8.85,8.41,0.01,0.01,0.00,0.01,0.01
8.00,8.85,9.71,9.28,0.01,0.02,0.00,0.02,0.01
9.00,9.71,10.57,10.14,0.00,0.02,0.00,0.02,0.00
10.00,10.57,11.44,11.01,0.00,0.02,0.00,0.02,0.00
11.00,11.44,12.30,11.87,0.00,0.02,0.00,0.02,0.00
12.00,12.30,13.16,12.73,0.00,0.02,0.00,0.02,0.00
13.00,13.16,14.03,13.60,0.00,0.03,0.00,0.03,0.00
14.00,14.03,14.89,14.46,0.00,0.03,0.00,0.03,0.00
15.00,14.89,15.76,15.32,0.00,0.03,0.00,0.03,0.00
16.00,15.76,16.62,16.19,0.00,0.03,0.00,0.03,0.00
17.00,16.62,17.48,17.05,0.00,0.03,0.00,0.03,0.00
18.00,17.48,18.35,17.91,0.00,0.03,0.00,0.03,0.00
19.00,18.35,19.21,18.78,0.00,0.03,0.00,0.03,0.00
20.00,19.21,20.07,19.64,0.00,0.04,0.00,0.04,0.00
21.00,20.07,20.94,20.51,0.00,0.04,0.00,0.04,0.00
22.00,20.94,21.80,21.37,0.00,0.04,0.00,0.04,0.00
23.00,21.80,22.66,22.23,0.00,0.04,0.00,0.04,0.00
24.00,22.66,23.53,23.10,0.00,0.04,0.00,0.04,0.00
25.00,23.53,24.39,23.96,0.00,0.04,0.00,0.04,0.00
26.00,24.39,25.26,24.82,0.00,0.04,0.00,0.04,0.00
27.00,25.26,26.12,25.69,0.00,0.04,0.00,0.04,0.00
28.00,26.12,26.98,26.55,0.00,0.04,0.00,0.04,0.00
29.00,26.98,27.85,27.41,0.00,0.04,0.00,0.04,0.00
30.00,27.85,28.71,28.28,0.00,0.04,0.00,0.04,0.00
31.00,28.71,29.57,29.14,0.00,0.04,0.00,0.04,0.00
32.00,29.57,30.44,30.01,0.00,0.04,0.00,0.04,0.00
33.00,30.44,31.30,30.87,0.00,0.04,0.00,0.04,0.00
34.00,31.30,32.16,31.73,0.00,0.04,0.00,0.04,0.00
35.00,32.16,33.03,32.60,0.00,0.04,0.00,0.04,0.00
36.00,33.03,33.89,33.46,0.00,0.04,0.00,0.04,0.00
37.00,33.89,34.76,34.32,0.00,0.04,0.00,0.04,0.00
38.00,34.76,35.62,35.19,0.00,0.04,0.00,0.04,0.00
39.00,35.62,36.48,36.05,0.00,0.04,0.00,0.04,0.00
40.00,36.48,37.35,36.91,0.00,0.04,0.00,0.04,0.00
41.00,37.35,38.21,37.78,0.00,0.04,0.00,0.04,0.00
42.00,38.21,39.07,38.64,0.00,0.04,0.00,0.04,0.00
43.00,39.07,39.94,39.51,0.00,0.04,0.00,0.04,0.00
44.00,39.94,40.80,40.37,0.00,0.04,0.00,0.04,0.00
45.00,40.80,41.67,41.23,0.00,0.04,0.00,0.04,0.00
46.00,41.67,42.53,42.10,0.00,0.04,0.00,0.04,0.00
47.00,42.53,43.39,42.96,0.00,0.04,0.00,0.04,0.00
48.00,43.39,44.26,43.82,0.00,0.04,0.00,0.04,0.00
49.00,44.26,45.12,44.69,0.00,0.04,0.00,0.04,0.00
50.00,45.12,45.98,45.55,0.00,0.04,0.00,0.04,0.00
51.00,45.98,46.85,46.42,0.00,0.04,0.00,0.04,0.00
52.00,46.85,47.71,47.28,0.00,0.04,0.00,0.04,0.00
53.00,47.71,48.57,48.14,0.00,0.04,0.00,0.04,0.00
54.00,48.57,49.44,49.01,0.00,0.04,0.00,0.04,0.00
55.00,49.44,50.30,49.87,0.00,0.04,0.00,0.04,0.00
56.00,50.30,51.17,50.73,0.00,0.04,0.00,0.04,0.00
57.00,51.17,52.03,51.60,0.00,0.04,0.00,0.04,0.00
58.00,52.03,52.89,52.46,0.00,0.04,0.00,0.04,0.00
59.00,52.89,53.76,53.32,0.00,0.04,0.00,0.04,0.00
60.00,53.76,54.62,54.19,0.00,0.04,0.00,0.04,0.00
61.00,54.62,55.48,55.05,0.00,0.04,0.00,0.04,0.00
62.00,55.48,56.35,55.92,0.00,0.04,0.00,0.04,0.00
63.00,56.35,57.21,56.78,0.00,0.04,0.00,0.04,0.00
64.00,57.21,58.07,57.64,0.00,0.04,0.00,0.04,0.00
65.00,58.07,58.94,58.51,0.00,0.04,0.00,0.04,0.00
66.00,58.94,59.80,59.37,0.00,0.04,0.00,0.04,0.00
67.00,59.80,60.67,60.23,0.00,0.04,0.00,0.04,0.00
68.00,60.67,61.53,61.10,0.00,0.04,0.00,0.04,0.00
69.00,61.53,62.39,61.96,0.00,0.03,0.00,0.03,0.00
70.00,62.39,63.26,62.82,0.00,0.03,0.00,0.03,0.00
71.00,63.26,64.12,63.69,0.00,0.03,0.00,0.03,0.00
72.00,64.12,64.98,64.55,0.00,0.03,0.00,0.03,0.00
73.00,64.98,65.85,65.42,0.00,0.03,0.00,0.03,0.00
74.00,65.85,66.71,66.28,0.00,0.03,0.00,0.03,0.00
75.00,66.71,67.58,67.14,0.00,0.03,0.00,0.03,0.00
76.00,67.58,68.44,68.01,0.00,0.03,0.00,0.03,0.00
77.00,68.44,69.30,68.87,0.00,0.03,0.00,0.03,0.00
78.00,69.30,70.17,69.73,0.00,0.03,0.00,0.03,0.00
79.00,70.17,71.03,70.60,0.00,0.03,0.00,0.03,0.00
80.00,71.03,71.89,71.46,0.00,0.03,0.00,0.03,0.00
81.00,71.89,72.76,72.32,0.00,0.03,0.00,0.03,0.00
82.00,72.76,73.62,73.19,0.00,0.02,0.00,0.02,0.00
83.00,73.62,74.48,74.05,0.00,0.02,0.00,0.02,0.00
84.00,74.48,75.35,74.92,0.00,0.02,0.00,0.02,0.00
85.00,75.35,76.21,75.78,0.00,0.02,0.00,0.02,0.00
86.00,76.21,77.08,76.64,0.00,0.02,0.00,0.02,0.00
87.00,77.08,77.94,77.51,0.00,0.02,0.00,0.02,0.00
88.00,77.94,78.80,78.37,0.00,0.02,0.00,0.02,0.00
89.00,78.80,79.67,79.23,0.00,0.02,0.00,0.02,0.00
90.00,79.67,80.53,80.10,0.00,0.02,0.00,0.02,0.00
91.00,80.53,81.39,80.96,0.00,0.01,0.00,0.01,0.00
92.00,81.39,82.26,81.83,0.00,0.01,0.00,0.01,0.00
93.00,82.26,83.12,82.69,0.00,0.01,0.00,0.01,0.00
94.00,83.12,83.98,83.55,0.00,0.01,0.00,0.01,0.00
95.00,83.98,84.85,84.42,0.00,0.01,0.00,0.01,0.00
96.00,84.85,85.71,85.28,0.00,0.01,0.00,0.01,0.00
97.00,85.71,86.58,86.14,0.00,0.01,0.01,0.01,0.00
98.00,86.58,87.44,87.01,0.00,0.00,0.01,0.00,0.00
99.00,87.44,88.30,87.87,0.00,0.00,0.01,0.00,0.00
100.00,88.30,89.17,88.73,0.00,0.00,0.01,0.00,0.00
